[2025-09-06 09:22:04] INFO: Database operation: UPDATE on members {"operation":"UPDATE","table":"members","data":{"member_id":"4","first_name":"hänschen","last_name":"dampf","email":"reinhard.schiessl@web.de","membership_type":"Vollmitglied"},"result":"SUCCESS","sql_time":0.012311935424804688} | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 09:54:29] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 09:54:29] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 09:54:29] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 09:54:29] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 09:54:29] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 09:54:29] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 09:54:29] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 09:54:29] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 09:54:29] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 09:54:29] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 09:54:29] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 09:54:29] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 09:54:29] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 09:54:29] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 09:54:29] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 09:54:29] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 09:54:29] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 09:54:30] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 09:54:30] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 09:54:30] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 09:54:30] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 09:54:30] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 09:54:30] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 09:54:30] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 09:54:30] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 09:54:30] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 09:54:30] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 09:54:30] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 09:54:30] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 09:54:30] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 09:54:30] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 09:54:30] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 09:54:30] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 09:54:30] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 09:54:30] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 09:54:30] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 09:54:30] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 09:54:35] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 09:54:35] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 09:54:35] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 09:54:35] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 09:54:35] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 09:54:35] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 09:54:35] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 09:54:35] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 09:54:35] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 09:54:35] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 09:54:35] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 09:54:35] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 09:54:35] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 09:54:35] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 09:54:35] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 09:54:35] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 09:54:35] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 09:54:35] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 09:54:35] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 09:54:35] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 09:54:48] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 09:54:48] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 09:54:48] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 09:54:48] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 09:54:48] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 09:54:48] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 09:54:48] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 09:54:48] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 09:54:48] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 09:54:48] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 09:54:48] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 09:54:48] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 09:54:48] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 09:54:48] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 09:54:48] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 09:54:48] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 09:54:48] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 09:54:48] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 09:54:48] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 09:54:48] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 09:55:21] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 09:55:21] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 09:55:21] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 09:55:21] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 09:55:21] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 09:55:21] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 09:55:21] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 09:55:21] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 09:55:21] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 09:55:21] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 09:55:21] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 09:55:21] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 09:55:21] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 09:55:21] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 09:55:21] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 09:55:21] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 09:55:21] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 09:55:21] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 09:55:21] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 09:55:21] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 15:43:29] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 15:43:29] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 15:43:29] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 15:43:29] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 15:43:29] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 15:43:29] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 15:43:29] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 15:43:29] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 15:43:29] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 15:43:29] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 15:43:29] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 15:43:29] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 15:43:29] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 15:43:29] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 15:43:29] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 15:43:29] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 15:43:29] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 15:43:29] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 15:43:29] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 15:43:29] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 15:43:29] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 15:43:31] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 15:43:31] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 15:43:31] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 15:43:31] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 15:43:31] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 15:43:31] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 15:43:31] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 15:43:31] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 15:43:31] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 15:43:31] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 15:43:31] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 15:43:31] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 15:43:31] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 15:43:31] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 15:43:31] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 15:43:31] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 15:43:31] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 15:43:31] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 15:43:31] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 15:43:31] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 15:43:32] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 15:43:32] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 15:43:32] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 15:43:32] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 15:43:32] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 15:43:32] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 15:43:32] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 15:43:32] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 15:43:32] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 15:43:32] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 15:43:32] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 15:43:32] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 15:43:32] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 15:43:32] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 15:43:32] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 15:43:32] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 15:43:32] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 15:43:32] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 15:43:32] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 15:43:32] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 15:43:32] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 15:43:32] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 15:43:32] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 15:43:32] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 15:43:32] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 15:43:33] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 15:43:33] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 15:43:33] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 15:43:33] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 15:43:33] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 15:43:33] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 15:43:33] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 15:43:33] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 15:43:33] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 15:43:33] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 15:43:33] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 15:43:33] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 15:43:33] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 15:43:33] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 15:43:33] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 15:43:46] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 15:43:46] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 15:43:46] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 15:43:46] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 15:43:46] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 15:43:46] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 15:43:46] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 15:43:46] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 15:43:46] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 15:43:46] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 15:43:46] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 15:43:46] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 15:43:46] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 15:43:46] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 15:43:46] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 15:43:46] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 15:43:46] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 15:43:46] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 15:43:46] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 15:43:46] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 15:43:47] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 15:43:47] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 15:43:47] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 15:43:47] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 15:43:47] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 15:43:47] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 15:43:47] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 15:43:47] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
